Interessado;UF;Tipo de interessado;Tipo de operação;Finalidade;Tipo de credor;Credor;Moeda;Valor;Número do Processo/PVL;Código IBGE;Status;Data
Distrito Federal;DF;Estado;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco do Brasil S/A;Dólar dos EUA;18.697.408,10;17944.000402/2002-27;53;Deferido;03/07/2002
Distrito Federal;DF;Estado;Operação Contratual Interna;PAC - Saneamento - 2008;Instituição Financeira Nacional;Caixa Econômica Federal;Real;91.000.000,00;17944.000417/2008-81;53;Deferido;30/04/2009
Distrito Federal;DF;Estado;Operação Contratual Externa (com garantia da União);Preservação e recuperação ambiental;Instituição Financeira Internacional;Corporação Andina de Fomento;Dólar dos EUA;60.095.000,00;17944.000511/2008-30;53;Contrato assinado;30/04/2009
Distrito Federal;DF;Estado;Operação Contratual Externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Agência Francesa de Desenvolvimento;Euro;134.000.000,00;17944.000530/2009-47;53;Arquivado a pedido;21/05/2012
Distrito Federal;DF;Estado;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;90.000.000,00;17944.000546/2005-26;53;Deferido;16/06/2005
Distrito Federal;DF;Estado;Operação Contratual Externa (com garantia da União);Profisco;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;31.997.000,00;17944.000557/2011-54;53;Pendente de correções ou ajustes (garantia da União);15/10/2015
Distrito Federal;DF;Estado;Operação Contratual Externa (com garantia da União);Desenvolvimento sustentável;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;57.643.000,00;17944.000591/2005-81;53;Autorizado pelo Senado Federal;25/01/2006
Distrito Federal;DF;Estado;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;260.318.000,00;17944.000646/2009-86;53;Deferido;23/06/2009
Distrito Federal;DF;Estado;Operação Contratual Interna;PEF - Programa Emergencial de Financiamento dos Estados/DF 2;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;41.412.000,00;17944.000835/2011-73;53;Deferido;10/05/2012
Distrito Federal;DF;Estado;Operação Contratual Interna (com garantia da União);PEF - Programa Emergencial de Financiamento dos Estados/DF;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;27.608.000,00;17944.000836/2009-01;53;Deferido;22/07/2009
Distrito Federal;DF;Estado;Concessão de garantia;Concessão de garantia a empresa estatal não dependente;Instituição Financeira Nacional;Caixa Econômica Federal;Real;119.660.000,00;17944.000846/2014-04;53;Deferido;10/10/2014
Distrito Federal;DF;Estado;Concessão de garantia;Concessão de garantia a empresa estatal não dependente;Instituição Financeira Nacional;Caixa Econômica Federal;Real;107.407.000,00;17944.000847/2014-41;53;Deferido;10/10/2014
Distrito Federal;DF;Estado;Concessão de garantia;Concessão de garantia a empresa estatal não dependente;Instituição Financeira Nacional;Caixa Econômica Federal;Real;12.575.000,00;17944.000848/2014-95;53;Deferido;10/10/2014
Distrito Federal;DF;Estado;Operação Contratual Interna (com garantia da União);PAC - Contrapartida;Instituição Financeira Nacional;Banco do Brasil S/A;Real;46.775.140,00;17944.000854/2014-42;53;Pendente de correções ou ajustes;16/04/2015
Distrito Federal;DF;Estado;Operação Contratual Interna (com garantia da União);PAC - Contrapartida;Instituição Financeira Nacional;Banco do Brasil S/A;Real;67.786.728,82;17944.000855/2014-97;53;Deferido;06/02/2015
Distrito Federal;DF;Estado;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;49.861.000,00;17944.000909/2005-23;53;Deferido;12/07/2005
Distrito Federal;DF;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;46.750.000,00;17944.000913/2005-91;53;Deferido;12/07/2005
Distrito Federal;DF;Estado;Operação Contratual Externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Corporação Andina de Fomento;Dólar dos EUA;164.600.000,00;17944.000933/2009-96;53;Arquivado a pedido;05/12/2012
Distrito Federal;DF;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Real;179.993.358,10;17944.000966/2006-93;53;Arquivado;24/07/2007
Distrito Federal;DF;Estado;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Caixa Econômica Federal;Dólar dos EUA;240.000.000,00;17944.001004/2014-61;53;Arquivado a pedido;01/09/2014
Distrito Federal;DF;Estado;Operação Contratual Interna;PAC - Contrapartida;Instituição Financeira Nacional;Caixa Econômica Federal;Real;98.109.150,00;17944.001068/2014-62;53;Deferido;01/09/2014
Distrito Federal;DF;Estado;Operação Contratual Interna;PAC - Contrapartida;Instituição Financeira Nacional;Caixa Econômica Federal;Real;25.357.768,37;17944.001069/2014-15;53;Deferido;01/09/2014
Distrito Federal;DF;Estado;Operação Contratual Interna;PNAFM;Instituição Financeira Nacional;Caixa Econômica Federal;Real;37.041.085,00;17944.001082/2006-56;53;Indeferido;29/06/2006
Distrito Federal;DF;Estado;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco do Brasil S/A;Iene;1.439.500.000,00;17944.001085/2006-90;53;Indeferido;21/07/2006
Distrito Federal;DF;Estado;Operação Contratual Interna;PAC - Copa Pró-Transporte;Instituição Financeira Nacional;Caixa Econômica Federal;Real;98.000.000,00;17944.001116/2011-70;53;Deferido;05/10/2011
Distrito Federal;DF;Estado;Operação Contratual Interna;PAC - Copa Pró-Transporte;Instituição Financeira Nacional;Caixa Econômica Federal;Real;263.000.000,00;17944.001117/2011-14;53;Arquivado por decurso de prazo;01/04/2015
Distrito Federal;DF;Estado;Operação Contratual Externa (com garantia da União);Desenvolvimento sustentável;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;50.000.000,00;17944.001141/2012-34;53;Deferido;07/08/2014
Distrito Federal;DF;Estado;Operação Contratual Interna;PAC 2 - Pró-Transporte;Instituição Financeira Nacional;Caixa Econômica Federal;Real;47.622.498,29;17944.001210/2013-91;53;Deferido;20/12/2013
Distrito Federal;DF;Estado;Operação Contratual Interna;PAC 2 - Pró-Transporte;Instituição Financeira Nacional;Caixa Econômica Federal;Real;397.961.363,79;17944.001212/2013-80;53;Deferido;20/12/2013
Distrito Federal;DF;Estado;Operação Contratual Interna;PAC 2 - Pró-Transporte;Instituição Financeira Nacional;Caixa Econômica Federal;Real;19.381.369,37;17944.001213/2013-24;53;Deferido;20/12/2013
Distrito Federal;DF;Estado;Operação Contratual Interna;PAC 2 - Pró-Transporte;Instituição Financeira Nacional;Caixa Econômica Federal;Real;35.034.768,55;17944.001214/2013-79;53;Deferido;20/12/2013
Distrito Federal;DF;Estado;Operação Contratual Interna;PNAFM;Instituição Financeira Nacional;Caixa Econômica Federal;Real;29.382.433,00;17944.001266/2010-01;53;Deferido;16/06/2011
Distrito Federal;DF;Estado;Operação Contratual Interna (com garantia da União);Infraestrutura;Instituição Financeira Nacional;Banco do Brasil S/A;Real;500.000.000,00;17944.001313/2014-31;53;Deferido;06/02/2015
Distrito Federal;DF;Estado;Operação Contratual Interna;PAC 2 - Mobilidade Grandes Cidades;Instituição Financeira Nacional;Caixa Econômica Federal;Real;561.522.650,00;17944.001392/2012-19;53;Deferido;18/12/2012
Distrito Federal;DF;Estado;Operação Contratual Interna;PAC - Contrapartida;Instituição Financeira Nacional;Caixa Econômica Federal;Real;45.000.000,00;17944.001423/2012-31;53;Deferido;28/12/2012
Distrito Federal;DF;Estado;Operação Contratual Interna;Fortalecimento Institucional;Instituição Financeira Nacional;Caixa Econômica Federal;Real;160.000.000,00;17944.001437/2012-55;53;Deferido;27/12/2012
Distrito Federal;DF;Estado;Operação Contratual Externa (com garantia da União);Multissetorial;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;177.203.030,00;17944.001477/2007-30;53;Autorizado pelo Senado Federal;20/12/2007
Distrito Federal;DF;Estado;Operação Contratual Interna;PAC - Pró-Moradia - 2008;Instituição Financeira Nacional;Caixa Econômica Federal;Real;179.993.358,10;17944.001478/2007-84;53;Deferido;11/12/2007
Distrito Federal;DF;Estado;Operação Contratual Interna;PNAFM;Instituição Financeira Nacional;Caixa Econômica Federal;Real;33.336.978,75;17944.001488/2008-09;53;Deferido;28/11/2008
Distrito Federal;DF;Estado;Concessão de garantia;Concessão de garantia a empresa estatal não dependente;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;170.840.000,00;17944.001543/2013-10;53;Deferido;19/11/2013
Distrito Federal;DF;Estado;Operação Contratual Externa (com garantia da União);Multissetorial;Instituição Financeira Internacional;Banco Internacional para Reconstrução e Desenvolvimento;Dólar dos EUA;130.000.000,00;17944.001800/2008-56;53;Contrato assinado;30/04/2009
Distrito Federal;DF;Estado;Operação Contratual Externa (com garantia da União);Preservação e recuperação ambiental;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;100.000.000,00;00000.000000/2013-41;53;Enviado à STN;08/09/2015
Divinésia;MG;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;114.000,00;17944.000771/2008-13;3121902;Deferido;10/06/2008
Divinésia;MG;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;350.000,00;17944.001283/2006-53;3121902;Arquivado;23/10/2006
Divinésia;MG;Município;Operação Contratual Interna;PNAFM;Instituição Financeira Nacional;Caixa Econômica Federal;Real;200.255,00;19405.000091/2004-91;3121902;Arquivado;04/08/2004
Divino;MG;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.200.000,00;00000.000000/0058-01;3122009;Devolvido;23/06/2010
Divino;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;2.000.000,00;00000.000000/0077-65;3122009;Devolvido;26/10/2011
Divino;MG;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.200.000,00;17944.001755/2010-54;3122009;Deferido;29/04/2011
Divino;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;2.000.000,00;17944.002103/2011-18;3122009;Deferido;02/05/2012
Divino das Laranjeiras;MG;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;172.700,00;17944.000579/2008-19;3122108;Arquivado;02/10/2008
Divino das Laranjeiras;MG;Município;Operação Contratual Interna;Caminho da Escola 2010;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;424.000,00;17944.000734/2011-01;3122108;Deferido;20/07/2011
Divino das Laranjeiras;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;800.000,00;17944.000803/2011-78;3122108;Deferido;27/07/2011
Divinolândia;SP;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Caixa Econômica Federal;Real;359.800,00;17944.000249/2008-23;3513900;Arquivado;07/05/2008
Divinolândia de Minas;MG;Município;Operação Contratual Interna;Caminho da Escola 2010;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;628.700,00;00000.000000/0070-13;3122207;Devolvido;12/08/2011
Divinolândia de Minas;MG;Município;Operação Contratual Interna;Caminho da Escola 4;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;628.700,00;17944.001499/2008-81;3122207;Arquivado;10/12/2008
Divinolândia de Minas;MG;Município;Operação Contratual Interna;Caminho da Escola 2010;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;628.700,00;17944.001634/2011-93;3122207;Arquivado por decurso de prazo;28/01/2013
Divinolândia de Minas;MG;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;255.000,00;19405.000036/2002-39;3122207;Deferido;10/07/2002
Divinolândia de Minas;MG;Município;Operação Contratual Interna;Fortalecimento Institucional;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;45.000,00;19405.000037/2002-83;3122207;Deferido;10/07/2002
Divinópolis;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;5.000.000,00;00000.000000/0092-10;3122306;Devolvido;31/07/2013
Divinópolis;MG;Município;Operação Contratual Interna;PAC - Saneamento - 2008;Instituição Financeira Nacional;Caixa Econômica Federal;Real;43.700.000,00;17944.000068/2008-05;3122306;Deferido;20/02/2008
Divinópolis;MG;Município;Operação Contratual Interna;PAC - PMI;Instituição Financeira Nacional;Caixa Econômica Federal;Real;5.430.494,17;17944.000351/2012-13;3122306;Deferido;03/04/2012
Divinópolis;MG;Município;Operação Contratual Interna;Aquisição de terrenos, imóveis e/ou construção de instalações;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;5.000.000,00;17944.000781/2013-16;3122306;Deferido;24/10/2013
Divinópolis;MG;Município;Operação Contratual Interna;Assunção de Dívida;Outras;Pessoa Jurídica;Real;102.790,76;17944.000795/2009-45;3122306;Arquivado;23/09/2009
Divinópolis;MG;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;3.000.000,00;17944.001045/2010-24;3122306;Deferido;04/08/2010
Divinópolis;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;5.000.000,00;17944.001120/2013-08;3122306;Deferido;05/11/2014
Divinópolis;MG;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;20.500.000,00;17944.001382/2011-01;3122306;Deferido;08/12/2011
Divinópolis;MG;Município;Operação Contratual Interna;PAC 2 - Saneamento;Instituição Financeira Nacional;Caixa Econômica Federal;Real;750.000,00;17944.001383/2011-47;3122306;Deferido;29/06/2012
Divinópolis;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;5.000.000,00;17944.001642/2011-30;3122306;Arquivado por decurso de prazo;23/05/2012
Divinópolis;MG;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;3.000.000,00;17944.002047/2006-54;3122306;Arquivado;29/05/2007
Divinópolis;MG;Município;Operação Contratual Interna;PROMOB;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;713.991,03;17944.002049/2006-43;3122306;Arquivado;29/05/2007
Divinópolis;MG;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.600.000,00;19405.000013/2002-24;3122306;Deferido;07/06/2002
Divinópolis;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;5.200.000,00;19405.000014/2002-79;3122306;Deferido;07/06/2002
Divinópolis;MG;Município;Operação Contratual Interna;Fortalecimento Institucional;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.200.000,00;19405.000015/2002-13;3122306;Deferido;07/06/2002
Divinópolis do Tocantins;TO;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;172.700,00;17944.000513/2008-29;1707108;Deferido;02/09/2008
Divinópolis do Tocantins;TO;Município;Operação Contratual Interna;Regularização de Dívida - Energia Elétrica;Outras;Pessoa Jurídica;Real;123.306,58;17944.001384/2008-96;1707108;Regularizado;02/09/2008
Divinópolis do Tocantins;TO;Município;Operação Contratual Interna;Regularização de Dívida - Energia Elétrica;Outras;Pessoa Jurídica;Real;93.035,52;17944.001695/2008-55;1707108;Regularizado;02/09/2008
Divisa Alegre;MG;Município;Operação Contratual Interna;Aquisição de terrenos, imóveis e/ou construção de instalações;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.000.000,00;17944.000710/2014-96;3122355;Deferido;28/05/2014
Divisa Alegre;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;600.000,00;17944.000711/2014-31;3122355;Deferido;26/05/2014
Divisa Alegre;MG;Município;Operação Contratual Interna;Caminho da Escola 4;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;240.750,00;17944.001510/2008-11;3122355;Arquivado;15/09/2008
Divisa Nova;MG;Município;Operação Contratual Interna;Provias 2010;Instituição Financeira Nacional;Banco do Brasil S/A;Real;250.000,00;17944.000881/2010-91;3122405;Deferido;20/04/2011
Divisópolis;MG;Município;Operação Contratual Interna;Caminho da Escola 2010;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;458.000,00;17944.000265/2011-11;3122454;Arquivado por decurso de prazo;18/01/2013
Divisópolis;MG;Município;Operação Contratual Interna;Regularização de Dívida - Água e Esgoto;Empresa Estatal;Companhia de Saneamento de Minas Gerais;Real;47.958,00;17944.000285/2011-92;3122454;Pendente de regularização;12/06/2013
Dois Irmãos;RS;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;2.077.000,00;17944.001120/2011-38;4306403;Deferido;01/12/2011
Dois Irmãos;RS;Município;Operação Contratual Interna;Caminho da Escola 5;Instituição Financeira Nacional;Banco do Brasil S/A;Real;172.700,00;19406.000034/2009-14;4306403;Arquivado;31/03/2009
Dois Irmãos;RS;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Brasil S/A;Real;990.000,00;19406.000222/2010-78;4306403;Deferido;08/07/2010
Dois Irmãos;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;2.000.000,00;17944.000460/2015-75;4306403;Deferido;13/07/2015
Dois Irmãos das Missões;RS;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;126.750,00;17944.000519/2008-04;4306429;Deferido;15/05/2008
Dois Irmãos das Missões;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;350.000,00;19406.000053/2010-76;4306429;Deferido;04/03/2010
Dois Irmãos das Missões;RS;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;590.000,00;19406.000506/2006-88;4306429;Deferido;24/11/2006
Dois Irmãos do Buriti;MS;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;472.150,00;17944.000852/2008-13;5003488;Arquivado;17/03/2009
Dois Irmãos do Tocantins;TO;Município;Operação Contratual Interna;PNAFM;Instituição Financeira Nacional;Caixa Econômica Federal;Real;216.942,00;19405.000105/2004-76;1707207;Arquivado;21/09/2004
Dois Riachos;AL;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;200.000,00;17944.000972/2008-11;2702504;Arquivado;22/10/2008
Dois Riachos;AL;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Brasil S/A;Real;500.000,00;17944.001042/2007-95;2702504;Arquivado;29/10/2007
Dois Vizinhos;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;3.461.800,00;17944.000060/2012-17;4107207;Deferido;22/03/2012
Dois Vizinhos;PR;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;4.133.853,68;17944.000478/2014-96;4107207;Deferido;17/04/2014
Dois Vizinhos;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;2.000.000,00;19406.000085/2005-12;4107207;Deferido;13/12/2005
Dois Vizinhos;PR;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;1.128.150,00;19406.000202/2010-05;4107207;Deferido;27/05/2010
Dois Vizinhos;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;2.271.850,00;19406.000203/2010-41;4107207;Deferido;27/05/2010
Dois Vizinhos;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;2.000.000,00;19406.000242/2003-10;4107207;Deferido;15/12/2003
Dois Vizinhos;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;3.000.000,00;19406.000464/2007-66;4107207;Deferido;06/12/2007
Dom Aquino;MT;Município;Operação Contratual Interna;PMAT;Instituição Financeira Nacional;Banco do Brasil S/A;Real;127.150,00;17944.000811/2004-95;5103601;Arquivado;28/09/2004
Dom Basílio;BA;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco do Brasil S/A;Real;600.000,00;17944.000150/2008-21;2910107;Arquivado por decurso de prazo;07/05/2008
Dom Bosco;MG;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.050.000,00;17944.000900/2010-80;3122470;Deferido;20/07/2010
Dom Cavati;MG;Município;Operação Contratual Interna;Provias 2010;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;600.000,00;17944.000748/2011-16;3122504;Deferido;26/08/2011
Dom Cavati;MG;Município;Operação Contratual Interna;Caminho da Escola 2009 A;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;680.000,00;17944.001608/2009-41;3122504;Deferido;28/05/2010
Dom Eliseu;PA;Município;Operação Contratual Interna;Pró-Transporte;Instituição Financeira Nacional;Caixa Econômica Federal;Real;19.000.000,00;00000.000000/0097-41;1502939;Devolvido;17/09/2013
Dom Eliseu;PA;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;19.000.000,00;17944.001887/2013-29;1502939;Deferido;04/04/2014
Dom Feliciano;RS;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;1.000.000,00;17944.000667/2014-69;4306502;Deferido;12/06/2014
Dom Feliciano;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;500.000,00;19406.000028/2005-25;4306502;Deferido;06/10/2005
Dom Feliciano;RS;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco do Brasil S/A;Real;800.000,00;19406.000074/2008-77;4306502;Deferido;26/03/2008
Dom Feliciano;RS;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;1.250.000,00;19406.000115/2009-14;4306502;Deferido;03/08/2009
Dom Feliciano;RS;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;200.000,00;19406.000123/2002-86;4306502;Deferido;12/07/2002
Dom Feliciano;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;300.000,00;19406.000124/2002-21;4306502;Deferido;12/07/2002
Dom Feliciano;RS;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;300.000,00;19406.000200/2006-21;4306502;Deferido;14/11/2006
Dom Feliciano;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;250.000,00;19406.000222/2004-20;4306502;Arquivado;23/08/2004
Dom Feliciano;RS;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;630.000,00;19406.000316/2006-61;4306502;Deferido;14/11/2006
Dom Feliciano;RS;Município;Operação Contratual Interna;Infraestrutura;Outras;Pessoa Jurídica;Real;700.000,00;19406.000473/2010-52;4306502;Deferido;15/03/2011
Dom Joaquim;MG;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;240.750,00;17944.000588/2008-18;3122603;Deferido;14/10/2008
Dom Joaquim;MG;Município;Operação Contratual Interna;Provias 2009;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;390.000,00;17944.000750/2009-71;3122603;Deferido;19/11/2009
Dom Pedrito;RS;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.700.000,00;17944.000002/2015-36;4306601;Deferido;12/02/2015
Dom Pedrito;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;2.000.000,00;17944.000766/2014-41;4306601;Deferido;24/07/2014
Dom Pedrito;RS;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.965.000,00;17944.001234/2013-40;4306601;Deferido;31/10/2013
Dom Pedrito;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;500.000,00;19406.000230/2004-76;4306601;Deferido;30/06/2004
Dom Pedrito;RS;Município;Operação Contratual Interna;Caminho da Escola 2009 A;Instituição Financeira Nacional;Banco do Brasil S/A;Real;293.800,00;19406.000273/2009-66;4306601;Deferido;30/11/2009
Dom Pedrito;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;650.000,00;19406.000581/2007-20;4306601;Deferido;08/02/2008
Dom Pedrito;RS;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.700.000,00;17944.000705/2015-64;4306601;Pendente de correções ou ajustes;26/08/2015
Dom Pedro de Alcântara;RS;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Caixa Econômica Federal;Real;212.000,00;19406.000395/2010-96;4306551;Deferido;06/05/2011
Dom Pedro de Alcântara;RS;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;210.000,00;19406.000850/2006-77;4306551;Deferido;15/06/2007
Dom Silvério;MG;Município;Operação Contratual Interna;Provias 2009;Instituição Financeira Nacional;Banco do Brasil S/A;Real;350.000,00;17944.000950/2009-23;3122702;Deferido;20/04/2010
